Hugo_Symbol	Entrez_Gene_Id	TCGA-05-4244-01	TCGA-05-4249-01	TCGA-05-4250-01	TCGA-35-3615-01	TCGA-35-4122-01	TCGA-35-4123-01	TCGA-44-2655-01	TCGA-44-2656-01	TCGA-44-2657-01	TCGA-44-2659-01	TCGA-44-2661-01	TCGA-44-2662-01	TCGA-44-2665-01	TCGA-44-2666-01	TCGA-44-2668-01	TCGA-44-3398-01	TCGA-44-3918-01	TCGA-44-3919-01	TCGA-44-4112-01	TCGA-55-1592-01	TCGA-55-1594-01	TCGA-55-1595-01	TCGA-55-1596-01	TCGA-64-1676-01	TCGA-64-1677-01	TCGA-64-1678-01	TCGA-64-1680-01	TCGA-67-3770-01	TCGA-67-3771-01	TCGA-67-3772-01	TCGA-67-3773-01	TCGA-67-3774-01
ELMO2	63916	-0.3056	-0.0049	-0.2666	-0.3744	-0.2343	-0.3270	0.0744	0.5062	0.2249	-0.1232	1.1845	1.0807	1.4910	0.1055	1.0250	-2.4229	-0.3693	-0.4551	-0.3400	0.9510	1.9529	0.5507	0.2378	1.5278	0.2370	-0.9616	-0.0585	-0.5030	0.8696	0.2170	-0.2531	0.5006
CREB3L1	90993	-2.0790	-1.2704	-0.9087	0.3971	-1.0874	1.2618	0.6776	-1.4126	0.1769	-1.2367	1.2618	0.3763	0.3728	1.6630	-0.6921	-1.0866	-1.2680	-0.0323	-0.0358	0.5758	0.1981	-0.5973	-0.5021	-1.2390	0.6831	-1.3146	0.6392	0.0837	1.7519	1.2563	-0.7266	0.8606
RPS11	6205	-1.6028	-0.9477	-0.0132	2.4114	-0.5888	-0.0290	-1.2119	-1.1573	-0.1906	0.3942	0.4684	-2.6140	-1.5378	0.8388	-3.0911	0.2587	-1.0289	0.4108	-0.7113	-1.7279	-0.7009	-0.9521	-2.8459	-0.4815	-0.0046	1.9648	1.1516	-0.7543	-0.8952	0.8506	0.7869	-0.3875
PNMA1	9240	-0.2774	1.4268	0.0288	-1.2424	0.3010	-0.9107	-0.5579	0.1688	-0.2962	-0.3353	-0.8399	0.8112	0.9720	0.1560	1.6971	0.4290	1.6023	-1.1614	1.0145	0.3398	1.1372	-0.5390	-0.1023	0.9448	0.6127	-0.3647	-2.1724	-0.0981	2.8162	-1.0884	-1.9239	0.3337
MMP2	4313	-1.8156	0.4856	-0.4670	-0.8774	1.4187	0.1229	-0.3894	0.7380	0.2589	0.5657	-0.0124	1.1959	2.5567	-0.1819	2.5855	0.1686	0.2820	0.9054	0.4073	0.0598	0.3504	0.7405	-1.0969	0.2378	-0.2956	-0.7334	-0.4320	-0.3597	0.3001	0.7663	-0.1839	0.4768
C10ORF90	118611	1.8693	-1.2710	0.8814	0.3400	0.9464	1.1364	0.1288	-0.8069	1.2033	-1.4034	-2.3765	-1.6417	0.8578	-0.8827	0.1342	0.3971	0.5800	0.0634	1.1448	-0.5834	-0.0912	0.6471	-1.1637	0.3927	1.0453	0.6496	-0.1025	-0.5485	-0.3580	0.7874	-0.0700	1.4421
ZHX3	23051	-2.1279	-0.7362	-1.7463	-0.3250	-0.7269	0.6944	0.1529	-0.8691	-0.1713	1.2628	1.1674	1.7204	0.2784	-0.8258	0.3570	-1.5294	-0.4522	-0.0365	1.0791	0.4360	-0.8002	-0.2247	0.6644	-1.3094	1.5627	-2.1482	-1.5850	-0.9009	0.3587	0.8569	-2.5563	-0.9839
ERCC5	2073	-0.6741	-1.2518	-3.3492	-0.9618	-0.8313	-0.5805	0.8478	-0.4661	0.2458	1.2188	0.9149	0.6582	0.7195	1.4534	0.7267	-2.2456	-1.4400	-0.0334	0.3597	-0.8434	-0.5688	-0.1500	-1.7768	-1.0956	-0.5782	-2.4288	0.2588	-1.9434	2.2698	0.6231	0.0630	0.1085
ADGRV1	84059	2.2683	-1.6934	1.0857	0.0968	0.0471	0.3232	0.8840	-0.3939	-0.4916	-1.7872	0.2580	-0.4799	0.0303	-0.4569	-1.5737	-0.4877	-1.2931	-0.5260	0.7561	0.1511	1.2737	0.2359	-0.1654	-1.4137	0.1229	0.7616	-0.8124	1.0743	-0.1207	0.1787	-0.8073	1.2322
RXFP3	51289	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
APBB2	323	-1.9183	-0.1430	-0.8741	-0.5679	-0.6946	0.3667	0.8541	-0.9071	0.6995	-0.3554	0.1727	-0.1130	0.8215	-0.7190	1.1102	-1.6609	0.8712	0.4314	-0.1477	0.6862	1.3552	-0.1640	-0.6959	-0.0732	-1.4930	0.1615	-2.1611	1.8863	-1.3966	-0.3653	-1.0741	0.1795
KLHL13	90293	0.4821	0.1970	-0.9180	-0.2507	-0.2165	-0.3294	-0.3637	-0.3727	1.5024	0.8423	-0.2967	-2.3256	-0.2585	0.0122	-0.3057	-0.7966	-1.3032	-0.0668	-0.5112	4.3209	1.2623	-0.8979	-1.7130	-0.0563	1.7416	1.6244	0.8591	0.4686	-0.1131	0.8321	0.8321	0.9270
PDCL3	79031	-0.4907	0.1142	-0.9177	-0.4860	-1.7527	0.0376	0.1907	0.3937	-0.7936	-1.7653	1.6954	1.3818	0.5389	-0.2209	1.8457	-1.0241	-1.1044	-0.3987	-0.4253	2.7007	2.1262	1.9129	2.3721	0.0591	1.5843	2.8099	0.3760	0.4259	1.4550	0.8012	-1.4353	0.3475
DECR1	1666	2.4268	0.3997	0.7624	0.3710	0.6056	-0.9585	0.8661	2.3160	-0.2447	-1.7907	0.9400	-0.7952	-1.0271	1.4329	1.4185	-1.3518	-0.1893	1.1610	-0.4378	-1.4811	-0.3216	0.6716	3.8250	-2.9185	-1.4634	-0.0452	0.3337	2.0845	1.1109	0.2070	-0.1859	1.0660
SALL1	6299	1.8955	0.5726	0.1484	-0.4736	-0.2741	0.5770	-0.6154	-0.8904	0.5707	2.5050	-0.6767	-0.5692	0.2138	-0.4791	-0.5181	-0.0114	-0.1969	0.4171	-0.2088	-1.0155	3.3842	0.0696	-1.1018	2.6162	-0.5596	0.0798	0.0376	-0.7417	-0.2561	-0.6975	2.9290	0.3025
