Hugo_Symbol	Entrez_Gene_Id	TCGA-38-4628-11	TCGA-38-4629-11	TCGA-38-4630-11	TCGA-44-3918-11	TCGA-44-3919-11	TCGA-44-4112-11	TCGA-49-4486-11	TCGA-49-4494-11	TCGA-49-4501-11	TCGA-49-4505-11	TCGA-49-4506-11	TCGA-49-4507-11	TCGA-49-4510-11	TCGA-55-1592-11	TCGA-55-1594-11	TCGA-55-1595-11	TCGA-55-1596-11	TCGA-73-4659-11	TCGA-73-4662-11	TCGA-73-4666-11	TCGA-73-4668-11	TCGA-73-4670-11	TCGA-73-4675-11	TCGA-73-4677-11
TMEM186	25880	0.940553271	0.950480042	0.944925637	0.945302177	0.955498746	0.953468361	0.951778451	0.96529562	0.950465626	0.952514653	0.948248051	0.946957221	0.953364227	0.958157149	0.939503931	0.955933442	0.947951799	0.944179915	0.957294148	0.946537455	0.953667229	0.953154222	0.952540219	0.958069643
CCNB1IP1	57820	0.058850399	0.083750901	0.062838756	0.099042766	0.093769254	0.056849723	0.083560804	0.058924308	0.078050236	0.0730188	0.083027078	0.074778183	0.053255508	0.056593894	0.087262794	0.070479573	0.074344331	0.0881153	0.05955316	0.082171261	0.085843175	0.061498912	0.077233679	0.084926408
TNFSF12-TNFSF13	407977	0.431420217	0.443626257	0.397926384	0.445789146	0.403605585	0.410665459	0.421086599	0.393127664	0.310595326	0.351167826	0.440683033	0.477120547	0.445153609	0.450877554	0.289665211	0.373240137	0.414138464	0.380215742	0.46879849	0.453372628	0.414932729	0.462398325	0.438744853	0.385230842
LSM7	51690	0.01308284	0.01572309	0.015014542	0.015981048	0.01951172	0.01753241	0.012468952	0.011578703	0.013198625	0.015321511	0.014050727	0.01123954	0.012097942	0.011723412	0.01883696	0.015738118	0.016939814	0.011919393	0.012721433	0.016575481	0.014127421	0.013446243	0.012367808	0.015146598
CUL5	8065	0.033593956	0.032288781	0.030169882	0.030453911	0.029326272	0.028443585	0.024310125	0.022569182	0.024451431	0.022087992	0.030161991	0.027893075	0.026196389	0.034451045	0.025155853	0.029442555	0.029759903	0.029524026	0.026808995	0.028371664	0.024366235	0.024903012	0.020556965	0.02473622
FASLG	356	0.695832365	0.595457613	0.689698854	0.684151871	0.677630611	0.593822245	0.708275953	0.683080915	0.712392133	0.663467631	0.684271383	0.642751113	0.688350233	0.646208851	0.757202122	0.656346818	0.677552794	0.742482193	0.719293868	0.733590459	0.715365003	0.706270279	0.791543427	0.687826754
MAPK8IP2	23542	0.552442667	0.560649827	0.57488919	0.609850713	0.643852551	0.606926626	0.575324331	0.499780156	0.665214128	0.551791119	0.545741839	0.599165954	0.519399059	0.569129722	0.515030683	0.550904294	0.562566529	0.561782654	0.595892082	0.585677118	0.580836538	0.614922226	0.528472793	0.514347592
TIGD7	91151	0.938895865	0.930451137	0.933909789	0.936525875	0.948410076	0.940346544	0.940106287	0.950286058	0.927611756	0.934655357	0.933306219	0.931472974	0.940651877	0.940753875	0.934502769	0.937891156	0.942338876	0.939383141	0.946554903	0.950087957	0.945526044	0.947454322	0.947031821	0.946555684
MYH1	4619	0.763285854	0.791274589	0.851900628	0.837049194	0.920239575	0.808809616	0.853756771	0.84479955	0.835413223	0.818561335	0.866749928	0.807316923	0.871914318	0.863505119	0.781174604	0.844266275	0.869247228	0.901040215	0.854098273	0.840449766	0.846248783	0.866783412	0.859076295	0.769212994
HCLS1	3059	0.341805821	0.335460559	0.419752491	0.400851306	0.391617208	0.359068761	0.426883095	0.390223468	0.48691683	0.476078889	0.407498352	0.322520828	0.466525472	0.323460217	0.354589655	0.342447236	0.407654497	0.513451255	0.336707506	0.426581899	0.354136619	0.433937003	0.442667728	0.387323888
DDX20	11218	0.139699283	0.116603177	0.162546387	0.160000028	0.175878435	0.143602419	0.100962392	0.111306624	0.082574175	0.123239634	0.101014981	0.114648055	0.075486216	0.09317355	0.071646209	0.084954732	0.125597838	0.095312844	0.142255829	0.102582505	0.118346176	0.09509847	0.110033947	0.081325718
DDX58	23586	0.027365054	0.026611979	0.030116931	0.027026482	0.026184027	0.025306425	0.02322093	0.021914634	0.02212959	0.021710355	0.026529403	0.034123194	0.022358465	0.020462371	0.025974706	0.023354772	0.026891727	0.027903253	0.021857045	0.025603429	0.029543106	0.022064678	0.023452516	0.024483877
MAPK11	5600	0.021576093	0.021859657	0.024639085	0.023144038	0.021681428	0.020996342	0.023529289	0.02810318	0.018069818	0.026705869	0.019679121	0.018404643	0.024904629	0.0215621	0.028196935	0.02329263	0.029848654	0.023945387	0.016900726	0.023927168	0.026391896	0.024058428	0.029296771	0.022364468
POLK	51426	0.037869935	0.028730579	0.031020216	0.033091135	0.037468345	0.036091833	0.033929184	0.03162134	0.031884315	0.030767086	0.044019414	0.032443636	0.028301837	0.026458178	0.044095838	0.030940896	0.036991682	0.03643272	0.02846536	0.032062403	0.031017477	0.02789146	0.032097923	0.031763033
TCN1	6947	0.716464312	0.602363712	0.719531382	0.780074624	0.830190646	0.631036107	0.745720376	0.725441549	0.801029663	0.805935939	0.657522477	0.618916428	0.766191349	0.742671091	0.728181967	0.674306123	0.568021975	0.785960188	0.625605814	0.673618019	0.583917705	0.6403396	0.618413819	0.681945937
MCM5	4174	0.984008431	0.958929089	0.965646986	0.985310055	0.980534709	0.974529842	0.972957746	0.978670581	0.977339448	0.979275246	0.963100878	0.977740119	0.971408064	0.980857967	0.965102946	0.974863566	0.974490877	0.978436841	0.981620898	0.968889188	0.976176922	0.962797262	0.970626404	0.973793835
LAMC2	3918	0.732235809	0.72594095	0.719287338	0.74708039	0.74440589	0.705875563	0.702368907	0.814678675	0.765452754	0.675337814	0.653273442	0.770706802	0.718410181	0.658146546	0.668989413	0.566843906	0.592986436	0.755059247	0.787947469	0.661111349	0.704045147	0.733413868	0.704987344	0.790445624
