rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_clust	p_cons	p_joint	p	q
1	STK11	serine/threonine kinase 11	353629	87	80	69	2	1	16	6	5	59	0	2.22e-15	6.73e-08	1.20e-06	0.0139	1.80e-06	0.000	0.000
2	TP53	tumor protein p53	667839	309	295	175	4	42	79	33	33	119	3	3.55e-15	<1.00e-15	0.000	0.000	0.000	<1.00e-15	<1.51e-12
3	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	373039	169	164	11	0	0	141	27	0	1	0	<1.00e-15	4.91e-14	0.000	0.000	0.000	<1.00e-15	<1.51e-12
4	KEAP1	kelch-like ECH-associated protein 1	912683	96	95	85	2	24	28	13	9	22	0	4.66e-15	6.90e-11	0.0169	0.000	0.000	<1.00e-15	<1.51e-12
5	EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	2137011	86	72	38	3	3	13	8	28	34	0	1.44e-15	0.000194	0.000	1.38e-05	0.000	<1.00e-15	<1.51e-12
6	BRAF	v-raf murine sarcoma viral oncogene homolog B1	1213204	44	41	21	1	2	18	14	1	8	1	5.77e-15	0.000560	0.000	0.00651	0.000	<1.00e-15	<1.51e-12
7	CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	451726	22	21	18	3	3	6	4	2	7	0	4.12e-06	0.269	6.80e-06	0.000	0.000	<1.00e-15	<1.51e-12
8	NFE2L2	nuclear factor (erythroid-derived 2)-like 2	974172	17	17	17	0	0	5	5	4	3	0	0.000261	0.0351	2.80e-05	0.000490	0.000	<1.00e-15	<1.51e-12
9	POTEM	POTE ankyrin domain family, member M	312390	13	13	13	2	0	7	4	1	1	0	0.000262	0.452	0.000	0.721	0.000	<1.00e-15	<1.51e-12
10	U2AF1	U2 small nuclear RNA auxiliary factor 1	443093	12	12	2	1	0	11	1	0	0	0	0.000337	0.111	0.000	1.96e-05	0.000	<1.00e-15	<1.51e-12
11	EMG1	EMG1 nucleolar protein homolog (S. cerevisiae)	358643	11	11	2	0	0	0	0	0	11	0	3.15e-05	1.000	0.000	0.942	0.000	<1.00e-15	<1.51e-12
12	ZNF595	zinc finger protein 595	1009299	7	7	5	6	0	5	0	0	2	0	0.990	0.979	1.40e-06	0.281	0.000	<1.00e-15	<1.51e-12
13	RBM10	RNA binding motif protein 10	1073502	37	35	35	2	1	5	0	0	31	0	4.77e-13	0.00407	0.398	0.00337	0.0342	5.34e-13	7.43e-10
14	FSTL5	follistatin-like 5	1365825	53	45	52	3	3	25	11	6	8	0	1.67e-12	0.00111	0.108	0.741	0.167	8.32e-12	1.07e-08
15	OR4A5	olfactory receptor, family 4, subfamily A, member 5	505448	31	30	31	4	1	16	6	4	4	0	9.30e-12	0.0500	0.154	0.228	0.196	5.11e-11	6.16e-08
16	OR5D13	olfactory receptor, family 5, subfamily D, member 13	515537	35	32	35	4	1	17	10	6	1	0	4.39e-12	0.0210	0.570	0.200	0.543	6.61e-11	7.47e-08
17	RB1	retinoblastoma 1 (including osteosarcoma)	1393625	33	32	32	1	0	1	3	1	28	0	7.92e-11	0.0575	0.0120	0.916	0.0332	7.27e-11	7.73e-08
18	REG1B	regenerating islet-derived 1 beta (pancreatic stone protein, pancreatic thread protein)	283328	23	22	23	2	1	14	2	2	4	0	1.31e-11	0.0230	0.692	0.0880	0.251	9.04e-11	9.08e-08
19	LRRIQ3	leucine-rich repeats and IQ motif containing 3	979489	38	32	38	3	2	15	8	5	8	0	6.33e-10	0.0880	0.0265	0.910	0.0457	7.31e-10	6.95e-07
20	OR4C16	olfactory receptor, family 4, subfamily C, member 16	506644	35	32	34	6	1	15	12	3	4	0	1.09e-09	0.152	0.0440	0.598	0.0842	2.22e-09	2.01e-06
21	RGS7	regulator of G-protein signaling 7	827433	33	31	32	2	3	17	6	0	6	1	3.01e-10	0.0117	0.312	0.271	0.330	2.39e-09	2.05e-06
22	WDR49	WD repeat domain 49	1162480	37	36	37	3	2	12	13	3	6	1	1.99e-09	0.0438	0.0451	0.283	0.0742	3.49e-09	2.87e-06
23	POTEG	POTE ankyrin domain family, member G	644380	37	36	34	6	3	19	7	2	5	1	6.18e-07	0.174	0.000500	0.984	0.00106	1.45e-08	1.14e-05
24	MUC7	mucin 7, secreted	622300	26	24	26	2	1	13	4	5	3	0	8.21e-09	0.0405	0.0835	0.791	0.165	2.90e-08	2.18e-05
25	TAS2R1	taste receptor, type 2, member 1	490760	20	20	20	0	1	11	4	1	3	0	2.75e-09	0.00205	0.554	0.704	0.654	3.81e-08	2.75e-05
26	KIAA0408	KIAA0408	1145889	20	19	8	1	0	4	2	1	13	0	0.000565	0.516	1.20e-06	0.367	9.60e-06	1.09e-07	7.55e-05
27	FERD3L	Fer3-like (Drosophila)	273884	21	21	19	3	0	12	3	2	4	0	9.97e-09	0.0456	0.502	0.433	0.599	1.19e-07	7.85e-05
28	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	1306090	20	19	13	0	0	13	4	2	1	0	0.00235	0.0114	2.00e-07	0.00655	2.60e-06	1.22e-07	7.85e-05
29	OR5W2	olfactory receptor, family 5, subfamily W, member 2	505839	27	26	25	4	1	15	8	2	1	0	4.08e-08	0.0830	0.164	0.350	0.180	1.44e-07	9.01e-05
30	ZNF804A	zinc finger protein 804A	1984779	107	90	104	17	4	59	19	6	18	1	7.88e-09	0.0939	0.720	0.681	1.000	1.55e-07	9.09e-05
31	OR8K5	olfactory receptor, family 8, subfamily K, member 5	504960	21	21	20	2	0	12	5	2	2	0	4.90e-08	0.0472	0.829	0.0435	0.162	1.56e-07	9.09e-05
32	LDB2	LIM domain binding 2	630229	23	21	22	1	3	6	7	2	5	0	4.23e-08	0.0186	0.318	0.141	0.281	2.28e-07	0.000129
33	GABRG2	gamma-aminobutyric acid (GABA) A receptor, gamma 2	796777	36	29	36	3	2	16	4	7	7	0	9.63e-08	0.00634	0.135	0.272	0.200	3.61e-07	0.000198
34	COL11A1	collagen, type XI, alpha 1	3066776	138	112	135	17	2	77	20	7	28	4	2.08e-07	0.0370	0.564	0.0569	0.0990	3.86e-07	0.000205
35	HBG2	hemoglobin, gamma G	201510	10	10	10	2	1	4	2	2	1	0	0.000124	0.280	0.000611	0.0256	0.000191	4.40e-07	0.000227
36	DIO2	deiodinase, iodothyronine, type II	423024	18	18	18	1	5	6	3	1	3	0	9.07e-08	0.0331	0.153	0.677	0.282	4.74e-07	0.000238
37	ZNF492	zinc finger protein 492	610710	21	20	19	0	0	11	4	1	5	0	2.65e-07	0.0228	0.290	0.0452	0.102	4.97e-07	0.000243
38	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	1783262	30	29	20	2	0	18	8	3	1	0	0.000230	0.0618	0.00660	0.00131	0.000156	6.51e-07	0.000310
39	OR5F1	olfactory receptor, family 5, subfamily F, member 1	516552	33	31	32	7	1	18	6	4	4	0	6.40e-08	0.0843	0.524	0.676	0.713	8.16e-07	0.000375
40	TBX22	T-box 22	827277	30	29	29	3	4	17	5	1	2	1	1.04e-07	0.0406	0.315	0.673	0.448	8.31e-07	0.000375
41	TMTC1	transmembrane and tetratricopeptide repeat containing 1	1278236	57	49	54	9	9	28	8	3	9	0	2.45e-07	0.0137	0.150	0.223	0.196	8.54e-07	0.000377
42	CDH12	cadherin 12, type 2 (N-cadherin 2)	1323373	74	64	71	13	8	34	17	5	10	0	5.55e-08	0.0431	0.580	0.888	1.000	9.83e-07	0.000423
43	REG3A	regenerating islet-derived 3 alpha	298405	35	33	32	8	3	17	9	1	5	0	2.57e-07	0.221	0.168	0.409	0.242	1.09e-06	0.000460
44	CMKLR1	chemokine-like receptor 1	612218	24	20	24	1	2	8	5	8	1	0	1.77e-07	0.00678	0.224	0.690	0.407	1.26e-06	0.000517
45	OR2T4	olfactory receptor, family 2, subfamily T, member 4	572291	37	34	36	6	5	20	5	3	4	0	2.58e-07	0.0358	0.212	0.410	0.304	1.36e-06	0.000547
46	ELTD1	EGF, latrophilin and seven transmembrane domain containing 1	1127122	39	35	39	4	0	11	11	8	9	0	2.22e-07	0.0697	0.418	0.937	0.555	2.08e-06	0.000817
47	CDH10	cadherin 10, type 2 (T2-cadherin)	1312757	111	92	110	22	9	64	16	2	19	1	1.27e-07	0.142	0.718	0.614	1.000	2.14e-06	0.000821
48	PPP3CA	protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform	864854	14	14	11	0	2	5	1	2	4	0	0.00190	0.0394	2.70e-05	0.737	9.82e-05	3.08e-06	0.00116
49	EPHA6	EPH receptor A6	1702241	59	55	57	9	4	34	8	1	11	1	1.60e-05	0.0522	0.0389	0.0459	0.0252	6.34e-06	0.00234
50	VWC2	von Willebrand factor C domain containing 2	173766	14	13	14	2	0	7	2	1	4	0	7.08e-07	0.289	0.388	0.945	0.582	6.47e-06	0.00234
51	LUM	lumican	557811	17	17	17	1	1	6	5	1	4	0	1.81e-06	0.105	0.161	0.602	0.242	6.86e-06	0.00243
52	OR51G2	olfactory receptor, family 51, subfamily G, member 2	514481	19	19	19	2	5	6	6	1	1	0	4.81e-07	0.0659	0.909	0.936	1.000	7.48e-06	0.00257
53	EDIL3	EGF-like repeats and discoidin I-like domains 3	805922	30	29	29	4	0	17	4	3	6	0	3.81e-06	0.162	0.0635	0.900	0.127	7.54e-06	0.00257
54	TRHDE	thyrotropin-releasing hormone degrading enzyme	1538769	40	36	40	4	3	19	8	4	5	1	3.69e-06	0.0139	0.601	0.0298	0.134	7.70e-06	0.00258
55	OR5T3	olfactory receptor, family 5, subfamily T, member 3	555299	32	29	31	6	0	22	6	2	2	0	1.50e-06	0.159	0.176	0.845	0.348	8.06e-06	0.00264
56	APCS	amyloid P component, serum	370598	12	12	12	1	0	7	3	1	1	0	7.40e-05	0.122	0.00250	0.721	0.00717	8.19e-06	0.00264
57	PNLIP	pancreatic lipase	774048	19	18	19	1	1	7	4	1	6	0	9.39e-05	0.0520	0.0120	0.0216	0.00586	8.47e-06	0.00269
58	SATB2	SATB homeobox 2	1126431	36	34	36	4	5	16	6	2	7	0	5.89e-07	0.0163	0.833	0.649	1.000	9.05e-06	0.00282
59	SNRPD3	small nuclear ribonucleoprotein D3 polypeptide 18kDa	213966	4	3	2	0	0	3	1	0	0	0	0.178	0.334	3.40e-06	0.587	4.00e-06	1.08e-05	0.00327
60	FOLH1	folate hydrolase (prostate-specific membrane antigen) 1	1184866	34	32	30	4	4	12	6	5	7	0	1.86e-06	0.0833	0.707	0.147	0.386	1.08e-05	0.00327
61	CPXCR1	CPX chromosome region, candidate 1	423990	22	19	20	2	2	12	3	3	2	0	8.53e-07	0.0975	0.698	0.514	0.881	1.14e-05	0.00334
62	DCAF8L2	DDB1 and CUL4 associated factor 8-like 2	547282	20	19	20	2	2	11	5	2	0	0	7.60e-07	0.0924	0.863	0.365	1.000	1.15e-05	0.00334
63	NLRP14	NLR family, pyrin domain containing 14	1811969	50	46	49	5	2	27	12	3	6	0	9.35e-07	0.0167	0.951	0.307	0.851	1.20e-05	0.00343
