index	chromosome	region_start	region_end	peak_start	peak_end	enlarged_peak_start	enlarged_peak_end	n_genes_in_region	genes_in_region	n_genes_in_peak	genes_in_peak	n_genes_on_chip	genes_on_chip	top 3	amp	cytoband	q_value
1	1	149881398	180674648	150812820	150879471	150571102	151052355	17	MLLT11,SNORA40|ENSG00000253047.1,ARNT,CTSK,CTSS,ENSA,ANXA9,SETDB1,CERS2,C1orf56,GOLPH3L,FAM63A,CDC42SE1,PRUNE,HORMAD1,GABPB2,BNIPL,	1	ARNT,	[Not Available]	[Not Available]	[Not Available]	1	1q21.3	2.2264e-28
2	1	39596453	42602991	39908222	39975142	39334157	44102587	75	RNA5SP46,RNA5SP45,RN7SL326P,MIR30C1,MIR30E,BMP8B,SNORA55,BMP8A,RNA5SP44,MYCBP,CDC20,COL9A2,CTPS1,EDN2,GUCA2A,GUCA2B,MPL,MYCL,NDUFS5,NFYC,YBX1,PPT1,PTPRF,RLF,SLC2A1,TIE1,PABPC4,KCNQ4,RIMS3,ZMPSTE24,PPIE,PPIH,CAP1,EBNA1BP2,FOXJ3,SCMH1,SZT2,MACF1,HEYL,ZNF691,HPCAL4,TRIT1,RHBDL2,HIVEP3,OXCT2,LEPRE1,SMAP2,EXO5,ELOVL1,ZFP69B,C1orf50,AKIRIN1,PPCS,GJA9,HYI,ZMYND12,NT5C1A,MFSD2A,MED8,ERMAP,TMCO2,ZNF684,TMEM125,CLDN19,WDR65,C1orf210,CITED4,SLFNL1,RIMKLA,ZFP69,CCDC23,FAM183A,KIAA0754,CCDC30,FOXO6,	2	BMP8A,MACF1,	[Not Available]	[Not Available]	[Not Available]	1	1p34.3	0.040181
3	3	159022451	197538677	169550759	169573196	168655042	171019530	21	MIR569,RNY5P3,CLDN11,TERC,MECOM,PRKCI,SKIL,SLC2A2,SEC62,TNIK,GPR160,MYNN,EIF5A2,SLC7A14,LRRC31,PHC3,ACTRT3,LRRC34,RPL22L1,LRRIQ4,SAMD7,	2	LRRC31,LRRIQ4,	[Not Available]	[Not Available]	[Not Available]	1	3q26.2	1.027e-07
4	4	55359062	55966617	55475409	55521536	55120557	59022030	34	snoU13|ENSG00000238925.1,snoU13|ENSG00000238541.1,snoU13|ENSG00000238579.1,NOA1,RN7SL357P,RN7SL492P,ARL9,SRP72,RNA5SP162,KIAA1211,RNA5SP161,RN7SKP30,RN7SL822P,RN7SL424P,IGFBP7,KDR,KIT,PDGFRA,POLR2B,PPAT,REST,SPINK2,CLOCK,CEP135,PAICS,NMU,EXOC1,TMEM165,SRD5A3,FIP1L1,HOPX,AASDH,PDCL2,THEGL,	1	KIT,	[Not Available]	[Not Available]	[Not Available]	1	4q12	0.060325
5	5	914233	50133376	1288694	1288694	1288661	1299329	1	TERT,	1	TERT,	[Not Available]	[Not Available]	[Not Available]	1	5p15.33	5.5544e-28
6	5	914233	50133376	40678049	40816532	33499437	50124856	74	HCN1,RN7SL383P,FGF10,CCL28,ANXA2R,SNORD72,RPL37,SNORA57|ENSG00000212567.1,SNORA63|ENSG00000199552.1,LINC00604,LINC00603,WDR70,RN7SL37P,RNA5SP181,LMBRD2,U3|ENSG00000201368.1,BRIX1,C1QTNF3,C6,C7,C9,DAB2,FYB,GDNF,GHR,HMGCS1,IL7R,LIFR,OXCT1,PRKAA1,PRLR,PTGER4,RAD1,SEPP1,SKP2,SLC1A3,ZNF131,OSMR,NUP155,PAIP1,MRPS30,NNT,TTC33,AMACR,NIPBL,RAI14,FBXO4,SLC45A2,RXFP3,C5orf28,AGXT2,C5orf42,PARP8,SPEF2,ADAMTS12,CARD6,EMB,MROH2B,EGFLAM,NADK2,UGT3A1,CAPSL,DNAJC21,TTC23L,UGT3A2,NIM1,RANBP3L,RICTOR,C5orf51,PLCXD3,C5orf34,MIR580,CCDC152,MIR3650,	4	SNORA57|ENSG00000212567.1,PRKAA1,PTGER4,TTC33,	[Not Available]	[Not Available]	[Not Available]	1	5p13.1	6.849e-09
7	5	171960538	172007933	171960538	172000778	166765427	180360469	162	TRIM52,SNORD95|ENSG00000264549.1,SNORD96A,LINC00847,MIR340,RN7SKP150,MIR1229,HMGB3P22,RN7SL71P,ZNF879,ZNF354B,AACSP1,RN7SKP70,RN7SL646P,RN7SL562P,EIF4E1B,MIR4281,RN7SL684P,MIR1271,ARL10,RN7SKP148,snoU13|ENSG00000239026.1,NSG2,RNA5SP200,SNORA74B,ATP6V0E1,MIR5003,SNORA57|ENSG00000212529.1,C5orf50,SNORA70|ENSG00000206909.1,RN7SL339P,snoU13|ENSG00000252387.1,RN7SL623P,MIR4454,KCNMB1,LCP2,C5orf58,MIR378E,MIR585,MIR103A1,PANK3,FBLL1,SNORA40|ENSG00000253065.1,BNIP1,CANX,CLTB,DBN1,DOCK2,DRD1,DUSP1,F12,FGFR4,FOXI1,FLT4,GABRP,GRK6,GRM6,HK3,HNRNPAB,HNRNPH1,HRH2,LTC4S,MGAT1,MSX2,NPM1,MAPK9,PROP1,RARS,SLC34A1,SLIT3,SNCB,STK10,ZNF354A,STC2,FGF18,SQSTM1,PDLIM7,ADAMTS2,MAML1,GFPT2,GNB2L1,RGS14,CPLX2,BTNL3,LMAN2,MGAT4B,B4GALT7,RNF44,TBC1D9B,N4BP3,FAF2,WWC1,FBXW11,ZNF346,TSPAN17,OR4F3,OR2V1,PRELID1,TLX3,KCNIP1,ZNF354C,RPL26L1,C5orf45,DDX41,NOP16,UIMC1,RAB24,NEURL1B,FAM193B,TMED9,CDHR2,SPDL1,NHP2,RNF130,KIAA1191,ERGIC1,CLK4,TENM2,CNOT6,NSD1,RMND5B,RANBP17,BTNL8,DOK3,ZFP2,RUFY1,CPEB4,PRR7,TRIM7,MXD3,THOC3,PHYKPL,UNC5A,TRIM41,BOD1,COL23A1,UBTD2,SCGB3A1,SFXN1,GPRIN1,C5orf47,OR2Y1,CREBRF,BTNL9,HIGD2A,FAM153B,RASGEF1C,EFCAB9,SH3PXD2B,FAM153A,OR2V2,ZNF454,C5orf60,PFN3,SIMC1,ZFP62,CBY3,FAM153C,FAM196B,MIR3912,MIR4634,MIR4638,	0	[NEURL1B]	[Not Available]	[Not Available]	[Not Available]	1	5q35.1	0.24967
8	6	40445234	42870703	41895445	42024839	41631791	42126761	13	SNORA8|ENSG00000206977.1,TOMM6,BYSL,CCND3,GUCA1A,PGC,TFEB,MED20,FRS3,USP49,PRICKLE4,TAF8,C6orf132,	3	BYSL,CCND3,TAF8,	[Not Available]	[Not Available]	[Not Available]	1	6p21.1	0.00086111
9	7	52830858	57921704	55014732	55021222	54774303	55667793	5	SNORA73|ENSG00000252054.1,EGFR,SEC61G,LANCL2,VOPP1,	0	[EGFR]	[Not Available]	[Not Available]	[Not Available]	1	7p11.2	1.0668e-07
10	7	115134142	117381806	116339500	116341218	116287034	116606049	4	RNA5SP239,CAPZA2,MET,ST7,	1	MET,	[Not Available]	[Not Available]	[Not Available]	1	7q31.2	1.7078e-05
